Friendliness,Hostility
Kindness,Cruelty
Affection,Indifference
Generosity,Stinginess
Cordiality,Coldness
Compassion,Callousness
Openness,Reserve
Warmth,Coldness
Friendliness,Aloofness
Kindness,Indifference
Affection,Cruelty
Generosity,Hostility
Hospitality,Unfriendliness
Cordiality,Reserve
Welcoming,Uninviting
Amicability,Animosity
Kindheartedness,Coldness
Empathy,Indifference
Consideration,Aloofness
Sympathy,Unfriendliness
Amiability,Hostility
Heartiness,Reserve
Benevolence,Cruelty
Sociability,Antisocialness
Sincerity,Insincerity
Warm-heartedness,Coolness
