Friendliness,Hostility
Kindness,Cruelty
Affection,Indifference
Generosity,Stinginess
Cordiality,Coldness
Compassion,Callousness
Openness,Reserve
Warmth,Coldness
Friendliness,Aloofness
Kindness,Indifference
Affection,Cruelty
Generosity,Hostility
Hospitality,Unfriendliness
Cordiality,Reserve
Welcoming,Uninviting
Amicability,Animosity
Kindheartedness,Coldness
Empathy,Indifference
Consideration,Aloofness
Sympathy,Unfriendliness
Amiability,Hostility
Heartiness,Reserve
Benevolence,Cruelty
Sociability,Antisocialness
Sincerity,Insincerity
Warm-heartedness,Coolness
sociability,unsociability
sociable,unsociable
friendliness,unfriendliness
friendly,unfriendly
warm,cold
warmth,coldness
likable,unlikable
pleasant,unpleasant
liked,disliked
outgoing,shy
sensitive,insensitive
affectionate,unaffectionate
caring,uncaring
sympathetic,unsympathetic
helpful,unhelpful
supportive,unsupportive
polite,impolite
social,antisocial
funny,boring
popular,unpopular
nice,nasty
agreeable,disagreeable
hospitable,inhospitable
thoughtful,inconsiderate
moral,immoral
trustworthy,trustworthiness
sincere,insincere
honest,dishonest
egoistic,altruistic
selfless,selfish
benevolent,threat
softhearted,hardhearted
loyal,disloyal
fair,unfair
tolerant,intolerant
tolerance,intolerance
good,bad
kind,unkind
right,wrong
kindness,mean
honorable,dishonorable
incorrupt,corrupt
innocent,criminal
amicable,hostile
genuine,fake
truthful,untruthful
cooperative,uncooperative
responsible,irresponsible
unprejudiced,prejudiced
